timestamp,open,high,low,close,volume
2025-11-05 08:22:00,154.71,154.71,154.11,154.18,17195.612
2025-11-05 08:23:00,154.18,154.25,153.95,154.01,19277.243
2025-11-05 08:24:00,154.01,154.05,153.67,153.86,16234.996
2025-11-05 08:25:00,153.87,154.25,153.85,153.98,6339.567
2025-11-05 08:26:00,153.97,154.27,153.96,154.22,2770.49
2025-11-05 08:27:00,154.22,154.53,154.21,154.36,10774.289
2025-11-05 08:28:00,154.36,154.61,154.35,154.52,2839.943
2025-11-05 08:29:00,154.52,154.61,154.38,154.39,4826.016
2025-11-05 08:30:00,154.39,154.47,154.25,154.32,5603.007
2025-11-05 08:31:00,154.31,154.99,154.28,154.97,5127.438
2025-11-05 08:32:00,154.98,155.72,154.98,155.51,8522.011
2025-11-05 08:33:00,155.51,155.77,155.39,155.4,4889.302
2025-11-05 08:34:00,155.41,155.71,155.41,155.71,2778.417
2025-11-05 08:35:00,155.72,155.85,155.6,155.62,4943.439
2025-11-05 08:36:00,155.62,155.97,155.62,155.71,3722.472
2025-11-05 08:37:00,155.7,155.82,155.46,155.82,3116.553
2025-11-05 08:38:00,155.81,155.95,155.41,155.48,4022.497
2025-11-05 08:39:00,155.47,155.75,155.41,155.43,2754.789
2025-11-05 08:40:00,155.42,155.7,155.39,155.54,4395.965
2025-11-05 08:41:00,155.54,155.55,155.28,155.43,15382.59
2025-11-05 08:42:00,155.43,155.61,155.39,155.44,3648.538
2025-11-05 08:43:00,155.44,155.5,155.05,155.07,6965.228
2025-11-05 08:44:00,155.07,155.24,155.06,155.19,2699.281
2025-11-05 08:45:00,155.19,155.39,154.92,155.03,7156.297
2025-11-05 08:46:00,155.03,155.03,154.57,154.57,5506.092
2025-11-05 08:47:00,154.57,154.74,154.33,154.67,5019.95
2025-11-05 08:48:00,154.67,154.8,154.5,154.55,4119.451
2025-11-05 08:49:00,154.54,155.02,154.5,155.02,20118.514
2025-11-05 08:50:00,155.02,155.9,155.02,155.8,10999.762
2025-11-05 08:51:00,155.79,155.87,155.52,155.55,5115.08
2025-11-05 08:52:00,155.54,155.62,155.35,155.39,5249.965
2025-11-05 08:53:00,155.4,155.82,155.17,155.17,8934.228
2025-11-05 08:54:00,155.18,155.54,155.09,155.44,4393.277
2025-11-05 08:55:00,155.44,155.88,155.44,155.87,2254.018
2025-11-05 08:56:00,155.87,155.87,155.6,155.68,2992.931
2025-11-05 08:57:00,155.67,155.74,155.53,155.6,2480.334
2025-11-05 08:58:00,155.6,155.88,155.57,155.83,2148.112
2025-11-05 08:59:00,155.83,155.9,155.62,155.7,2772.28
2025-11-05 09:00:00,155.69,155.88,155.58,155.88,2688.17
2025-11-05 09:01:00,155.88,156.17,155.67,155.69,7729.365
2025-11-05 09:02:00,155.68,156.11,155.68,156.07,3493.565
2025-11-05 09:03:00,156.07,156.53,156.06,156.49,4375.963
2025-11-05 09:04:00,156.49,156.69,156.4,156.44,7360.407
2025-11-05 09:05:00,156.44,156.73,156.38,156.61,4241.582
2025-11-05 09:06:00,156.62,156.79,156.48,156.66,9793.111
2025-11-05 09:07:00,156.66,156.71,156.52,156.59,2844.638
2025-11-05 09:08:00,156.6,156.92,156.59,156.87,3840.719
2025-11-05 09:09:00,156.87,157.17,156.86,156.98,10813.303
2025-11-05 09:10:00,156.98,157.13,156.88,156.91,3589.861
2025-11-05 09:11:00,156.91,156.93,156.76,156.88,3819.983
2025-11-05 09:12:00,156.88,156.92,156.68,156.69,905.052
2025-11-05 09:13:00,156.69,156.7,156.45,156.53,4418.817
2025-11-05 09:14:00,156.53,156.67,156.49,156.54,1845.528
2025-11-05 09:15:00,156.54,156.6,156.44,156.46,652.863
2025-11-05 09:16:00,156.45,156.64,156.32,156.58,1368.947
2025-11-05 09:17:00,156.58,156.71,156.48,156.64,628.469
2025-11-05 09:18:00,156.64,156.85,156.36,156.4,1478.005
2025-11-05 09:19:00,156.4,156.4,156.16,156.27,1484.797
2025-11-05 09:20:00,156.27,156.27,156.01,156.11,7103.393
2025-11-05 09:21:00,156.1,156.74,156.04,156.68,1438.201
2025-11-05 09:22:00,156.68,156.71,156.52,156.66,1325.966
2025-11-05 09:23:00,156.66,156.84,156.64,156.7,3447.082
2025-11-05 09:24:00,156.69,156.76,156.55,156.56,1443.689
2025-11-05 09:25:00,156.57,156.75,156.56,156.68,635.297
2025-11-05 09:26:00,156.69,156.88,156.68,156.76,1173.452
2025-11-05 09:27:00,156.75,156.89,156.67,156.78,1006.81
2025-11-05 09:28:00,156.77,157.01,156.61,156.8,1816.193
2025-11-05 09:29:00,156.79,156.89,156.74,156.83,841.942
2025-11-05 09:30:00,156.82,156.82,156.57,156.61,1045.069
2025-11-05 09:31:00,156.62,156.85,156.49,156.54,1470.164
2025-11-05 09:32:00,156.54,156.58,156.31,156.31,1652.972
2025-11-05 09:33:00,156.3,156.31,156.09,156.15,5372.54
2025-11-05 09:34:00,156.16,156.38,156.14,156.38,1545.448
2025-11-05 09:35:00,156.38,156.66,156.25,156.64,1885.07
2025-11-05 09:36:00,156.64,156.72,156.34,156.7,1681.411
2025-11-05 09:37:00,156.71,156.85,156.38,156.64,1987.919
2025-11-05 09:38:00,156.63,156.74,156.58,156.71,1416.808
2025-11-05 09:39:00,156.71,156.94,156.68,156.94,1706.274
2025-11-05 09:40:00,156.94,156.97,156.87,156.92,1122.892
2025-11-05 09:41:00,156.91,157.08,156.86,156.86,2257.414
2025-11-05 09:42:00,156.85,156.86,156.71,156.78,605.906
2025-11-05 09:43:00,156.79,156.9,156.66,156.82,1436.017
2025-11-05 09:44:00,156.81,156.96,156.81,156.84,396.602
2025-11-05 09:45:00,156.84,156.91,156.77,156.89,1064.774
2025-11-05 09:46:00,156.89,156.9,156.76,156.84,615.503
2025-11-05 09:47:00,156.83,156.84,156.68,156.69,651.872
2025-11-05 09:48:00,156.69,156.9,156.42,156.52,3864.188
2025-11-05 09:49:00,156.52,156.92,156.47,156.83,970.653
2025-11-05 09:50:00,156.83,157.01,156.71,156.92,1171.785
2025-11-05 09:51:00,156.91,156.91,156.74,156.78,1198.518
2025-11-05 09:52:00,156.78,157.16,156.78,157.08,1891.626
2025-11-05 09:53:00,157.09,157.12,156.86,156.91,1369.391
2025-11-05 09:54:00,156.9,156.97,156.79,156.95,1401.208
2025-11-05 09:55:00,156.95,157.34,156.95,157.22,3191.586
2025-11-05 09:56:00,157.21,157.21,157.11,157.12,1221.404
2025-11-05 09:57:00,157.11,157.18,156.96,157.17,1715.979
2025-11-05 09:58:00,157.18,157.18,157.03,157.08,932.397
2025-11-05 09:59:00,157.09,157.11,157.01,157.04,627.21
2025-11-05 10:00:00,157.03,157.08,156.84,156.96,1775.904
