date,close,open,high,low,volume
2025-10-12T00:00:00-04:00,197.2,177.83,199.19,173.17,11826799616.0
2025-10-13T00:00:00-04:00,208.87,197.2,209.48,190.34,11717782528.0
2025-10-14T00:00:00-04:00,202.55,208.87,211.47,191.23,13600198608.0
2025-10-15T00:00:00-04:00,193.94,202.54,209.0,192.18,9867608882.0
2025-10-16T00:00:00-04:00,184.88,193.93,198.5,182.0,10063568896.0
2025-10-17T00:00:00-04:00,182.05,184.85,187.58,174.1,10401735741.0
2025-10-18T00:00:00-04:00,187.63,182.01,188.42,181.81,4108902789.0
2025-10-19T00:00:00-04:00,187.94,187.62,192.33,183.22,5417762304.0
2025-10-20T00:00:00-04:00,189.79,187.94,194.63,183.89,6103945646.0
2025-10-21T00:00:00-04:00,185.71,189.79,197.81,182.66,8186574439.0
2025-10-22T00:00:00-04:00,180.16,185.7,187.53,177.24,7337365275.0
2025-10-23T00:00:00-04:00,191.43,180.15,193.5,179.71,6358339771.0
2025-10-24T00:00:00-04:00,193.63,191.42,196.79,188.83,5855077941.0
2025-10-25T00:00:00-04:00,193.87,193.62,195.29,191.26,3170047006.0
2025-10-26T00:00:00-04:00,200.07,193.86,202.19,191.96,5440419840.0
2025-10-27T00:00:00-04:00,198.68,200.05,205.32,197.25,8093133805.0
2025-10-28T00:00:00-04:00,194.21,198.67,203.95,190.37,8093133805.0
2025-10-29T00:00:00-04:00,193.95,194.21,201.71,189.55,8688393422.0
2025-10-30T00:00:00-04:00,184.67,193.92,198.2,178.58,8740100096.0
2025-10-31T00:00:00-04:00,187.14,184.69,190.2,183.69,5699604751.0
2025-11-01T00:00:00-04:00,186.26,187.12,187.42,183.7,3213989849.0
2025-11-02T00:00:00-04:00,187.67,186.26,188.26,182.04,3213989849.0
2025-11-03T00:00:00-05:00,166.01,187.67,189.05,163.2,11720472283.0
2025-11-04T00:00:00-05:00,155.40318,166.09554,168.2003,146.74956,11720472283.0
2025-11-05T00:00:00-05:00,162.56607,155.39946,163.65787,147.89247,11720472283.0
2025-11-06T00:00:00-05:00,155.06592,162.56339,162.7793,153.79433,7278004532.0
2025-11-07T00:00:00-05:00,161.70818,155.06641,164.09254,150.44388,6565811742.0
2025-11-08T00:00:00-05:00,158.10251,161.70853,164.70511,156.08548,4538025398.0
2025-11-09T00:00:00-05:00,164.45384,158.10298,166.23103,155.38454,4538025398.0
2025-11-10T00:00:00-05:00,167.367,164.45126,170.15529,163.8564,5424364139.0
2025-11-11T00:00:00-05:00,154.56833,167.36734,171.60735,154.26486,6202061657.0
2025-11-12T00:00:00-05:00,156.04402,154.60756,156.43484,153.98833,196659228.0
